epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8425,1.63584,5.46213,1.23188,0.00177,1,0.00484,0.00296,1.0875,5.12477,0.90521,0.00028,0.00028,0.00028
2,54.0072,1.27996,3.32003,1.0228,0.00177,1,0.13898,0.10126,1.17381,5.40083,0.98573,0.00055129,0.00055129,0.00055129
3,80.7589,1.32779,3.04735,1.0416,0.0017,0.96154,0.00388,0.00162,1.26559,5.09933,1.06903,0.00079288,0.00079288,0.00079288
4,107.273,1.23452,2.4018,1.06792,0.0017,0.96154,0.00356,0.00225,1.18415,4.57404,1.03674,0.00100477,0.00100477,0.00100477
5,134.108,1.13781,2.30864,0.96222,1,0.47996,0.80565,0.52127,1.31462,3.95891,1.31198,0.00118696,0.00118696,0.00118696
6,160.773,1.15984,2.10074,1.02155,1,0.75038,0.84725,0.61698,1.0649,3.3309,1.08296,0.00133945,0.00133945,0.00133945
7,187.315,1.18284,2.00328,1.07635,1,0.72569,0.80677,0.58712,1.1022,3.01774,1.07993,0.001406,0.001406,0.001406
8,213.961,1.13463,1.88504,0.99626,0.9789,0.80769,0.8441,0.60591,1.17744,2.67589,1.11449,0.001307,0.001307,0.001307
9,240.283,1.13709,1.65117,0.99903,0.984,0.80769,0.94182,0.65373,1.2472,2.25104,1.18511,0.001208,0.001208,0.001208
10,266.837,1.06741,1.67448,1.01474,0.95624,0.84058,0.9616,0.59221,1.29399,1.96892,1.16336,0.001109,0.001109,0.001109
11,293.111,1.082,1.9466,1.02504,1,0.84186,0.95877,0.67124,1.1696,1.74786,1.19084,0.00101,0.00101,0.00101
12,319.197,1.06702,1.77604,1.02573,1,0.87727,0.97334,0.69765,1.11765,1.78736,1.1053,0.000911,0.000911,0.000911
13,345.617,1.04484,1.66848,1.05154,1,0.91942,0.98553,0.75402,1.00219,1.33683,1.03151,0.000812,0.000812,0.000812
14,371.836,0.98643,1.7617,0.99801,1,0.98977,0.995,0.73326,1.05604,1.20097,1.03661,0.000713,0.000713,0.000713
15,398.036,1.01056,1.52855,1.01891,1,0.97416,0.995,0.72837,1.06471,1.14653,1.04018,0.000614,0.000614,0.000614
16,424.254,0.98019,1.46149,0.99333,0.95069,1,0.99241,0.70494,1.06749,1.09441,1.06311,0.000515,0.000515,0.000515
17,450.027,0.95919,1.39829,0.95532,1,0.98292,0.995,0.67704,1.14615,1.06424,1.09284,0.000416,0.000416,0.000416
18,476.207,1.01142,1.31838,0.98456,1,0.95076,0.99389,0.71946,1.02005,0.9863,1.04067,0.000317,0.000317,0.000317
19,502.391,0.94451,1.3053,0.97895,1,0.95196,0.99389,0.72503,1.03055,0.94719,1.04452,0.000218,0.000218,0.000218
20,528.598,0.85559,1.18921,0.9169,1,0.9853,0.995,0.71609,1.06529,0.92747,1.06653,0.000119,0.000119,0.000119
